,Timestamp,Close,Volume_(BTC),Normalized_Change
533435,1357324020,13.22,6.57534526,0.0
534879,1357410660,13.14,0.20547945,0.0
536326,1357497480,13.06,60.0235,0.0038138825324179203
537775,1357584420,13.2,19.2219697,0.0
539218,1357671000,13.45,7.22233,0.0
540684,1357758960,13.61,7.88170463,0.0
542126,1357845480,14.03,5.15603,0.0
543579,1357932660,14.03,9.87241625,0.0
545063,1358021700,13.89,48.96,0.0007194244604316393
546505,1358108220,13.72,0.66836735,0.0
547955,1358195220,14.08,16.0,0.0
549396,1358281680,14.31,8.174157,0.0
550845,1358368620,14.45,10.0,0.0
552314,1358456760,15.36,6.47981771,0.0
553763,1358543700,15.53,6.77038,0.0
555259,1358633460,15.5,26.6632258,0.0
556718,1358721000,15.62,0.06402049,0.0
558169,1358808060,16.6,11.35963856,0.0
559609,1358894460,17.36,0.00055762,0.0
561060,1358981520,17.43,7.26596,0.0
562501,1359067980,17.4,2.86,0.0
563949,1359154860,17.49,27.30760435,0.0
565398,1359241800,17.22,2.829,0.0
566846,1359328680,17.55,6.0,0.0
568303,1359416100,18.67,5.01,0.0
569758,1359503400,19.35,0.0692816,0.0
571199,1359589860,19.45,46.5,0.0
572764,1359683760,20.3,1.02660099,0.0
574247,1359772740,20.31,2.37838,0.0
575770,1359864120,20.0,94.2755,0.0
577216,1359950880,20.59,0.79878565,0.0
578662,1360037640,20.29,0.81579497,0.0
580103,1360124100,20.7,7.53913044,0.0
581688,1360219200,20.99,44.0,0.0
583163,1360307700,22.23,0.22582098,0.0
584629,1360395660,22.39,5.4503422,0.0
586074,1360482360,23.4,3.40542653,0.0
587521,1360569180,23.79,5.0,0.0
588975,1360656420,24.02,0.66243,0.0
590422,1360743240,25.58,4.77205,0.0
591870,1360830120,25.46,0.16474964,0.0
593311,1360916580,27.3,26.26,0.0
594755,1361003220,27.21,5.29606027,0.0
596199,1361089860,27.33,14.10430522,0.001096491228070217
597645,1361176620,26.45,2.0,0.0
599088,1361263200,27.59,17.31786879,0.0
600528,1361349600,29.3,12.11228623,0.006779661016949128
601968,1361436000,29.81,1.3213,0.0
603419,1361523060,30.4,0.147,0.0
604869,1361610060,29.33,6.52815062,-0.0003410641200545024
606317,1361696940,29.64,0.25590418,0.0
607758,1361783400,29.8,2.022,0.0
609198,1361869800,30.7,15.051,0.0
610641,1361956380,31.16,5.07847,0.0
612081,1362042780,32.93,0.2235044,0.0
613521,1362129180,33.79,1.0,0.0
614971,1362216180,33.81,0.44109999,0.0
616414,1362302760,33.98,5.89331735,0.0
617854,1362389160,34.7,7.0,0.0
619296,1362475680,40.25,0.1110559,0.0
620737,1362562140,44.99,85.79724068,0.0008882966910948067
622179,1362648660,43.98,19.5,0.0
623631,1362735780,42.74,2.52944683,0.0
625073,1362822300,45.01,180.0,-0.0004445432318292069
626517,1362908940,46.49,3.21036782,0.0
627959,1362995460,46.79,1.0,0.0
629403,1363082100,43.99,1.1,0.0
630843,1363168500,46.01,4.34688112,0.0
632285,1363255020,47.46,2.65929203,0.0
633725,1363341420,47.27,4.15173,0.0
635179,1363428660,46.7,10.0,0.0
636626,1363515480,47.0,4.789,0.0
638073,1363602300,47.29,0.07090406,0.0
639515,1363688820,52.81,0.06376093,0.0
640956,1363775280,59.51,0.41650098,0.0
642396,1363861680,68.15,2.36950663,0.0
643838,1363948200,72.9,2.0,0.0
645278,1364034600,63.48,0.00022054,0.0
646718,1364121000,67.32,0.14307845,0.0
648158,1364207400,70.69,20.97213185,0.0
649599,1364293860,78.9,0.01568477,0.0
651039,1364380260,86.99,13.22394508,0.0
652479,1364466660,94.9,8.40716972,0.0
653920,1364553120,93.87,2.38,0.0
655381,1364640780,92.71,0.27,0.0
656823,1364727300,94.19,5.0,0.0
658263,1364813700,96.4,5.63603057,0.0010362694300517547
659703,1364900100,106.0,13.2005154,0.0018832391713747914
661143,1364986500,139.89,10.1,0.0
662583,1365072900,135.17,2.21099356,0.0
664023,1365159300,139.78,4.30967771,0.0
665464,1365245760,143.51,8.21982209,0.001461174505983913
666906,1365332280,147.93,7.85851416,0.0
668346,1365418680,182.0,0.25429549,-0.00021982853374363619
669786,1365505080,198.13,6.08016,0.0003531786074671704
671227,1365591540,239.0,0.65358334,0.0
672667,1365677940,135.0,13.54629158,0.021029731689630207
674107,1365764340,76.01,3.58818744,0.0
675547,1365850740,107.0,2.18490002,0.0
676988,1365937200,96.1,0.02,0.0
678428,1366023600,94.95,9.32336949,0.0
679868,1366110000,64.99,10.0535314,-0.013094310210444101
681308,1366196400,84.5,0.17656804,0.0
682748,1366282800,92.0,12.0,0.004867495943753411
684188,1366369200,116.51,1.21028145,0.00025742234425949145
685628,1366455600,120.25,5.24946063,0.0
687069,1366542060,122.96,0.01,0.0
688711,1366640580,120.56,8.2240445,0.0056087099967006985
690151,1366726980,129.62,1.92106157,-0.006522751980121163
691591,1366813380,158.0,24.38557427,-0.0009502692429522058
693031,1366899780,152.98,5.35,-0.006248766690784639
694471,1366986180,138.02,10.27097137,0.0
695911,1367072580,134.0,0.1,0.0
697351,1367158980,134.47,1.0,0.0
698791,1367245380,143.99,150.94216394,-0.014014084507042317
700231,1367331780,138.0,146.62650693,0.014285714285714285
701671,1367418180,130.0,3.15576923,0.0
703111,1367504580,100.02,47.44048958,-9.999000099980906e-05
704551,1367590980,93.84,16.50972292,-0.0020288307528029655
705991,1367677380,109.98,19.31268401,0.0
707431,1367763780,110.8,0.1,0.0
708871,1367850180,118.87,18.01837992,0.0002523128679562753
710311,1367936580,102.02,56.52547258,0.0
711751,1368022980,112.9,4.30496014,0.0
713191,1368109380,112.5,2.84819858,-0.001780943900267167
714631,1368195780,117.04,0.81331765,-0.00034188034188039533
716073,1368282300,116.4,0.61,0.0
717513,1368368700,114.5,0.1,0.0
718953,1368455100,116.71,0.2,0.0
720393,1368541500,117.52,1.9,0.0001701548409053108
721833,1368627900,111.72,9.43504535,-0.0006269592476488417
723274,1368714360,111.43,1.0,0.0
724714,1368800760,114.75,1.0,0.0
726159,1368887460,116.43,0.792,0.0
727599,1368973860,118.95,1.0,0.0
729039,1369060260,117.82,2.67594635,0.0
730479,1369146660,117.39,0.46666666,0.0
731919,1369233060,118.06,1.05878367,0.0
733359,1369319460,120.5,3.50169093,0.0
734799,1369405860,126.88,3.81894016,0.0
736239,1369492260,128.18,1.06236358,0.0
737679,1369578660,129.89,0.77,0.0
739119,1369665060,130.1,3.5,-7.686985932808751e-05
740559,1369751460,124.99,64.73194053,0.0
741999,1369837860,126.77,7.01501,0.0018110236220472754
743439,1369924260,129.8,1.0,0.0
744879,1370010660,128.25,0.02,0.0
746319,1370097060,128.7,0.02366,0.0
747759,1370183460,121.97,0.98999754,0.0
749199,1370269860,119.03,6.31944387,0.0
750639,1370356260,119.64,4.03652,8.357709987467711e-05
752081,1370442780,120.03,3.32497976,0.0
753524,1370529360,120.44,0.1888077,0.0
754964,1370615760,113.12,6.06402909,0.0007949827753731049
756407,1370702340,109.05,1.16592697,-9.17094644166444e-05
757847,1370788740,94.79,2.39067293,-0.006476959014652786
759287,1370875140,101.29,1.14505657,-0.0028712871287129333
760727,1370961540,106.99,0.81661837,0.0
762168,1371048000,109.36,0.13804491,0.0
763608,1371134400,107.02,13.57867676,-0.0001869158878504301
765048,1371220800,101.25,1.9922953,-9.877518767290711e-05
766488,1371307200,100.11,2.0669311,0.006450972608177905
767929,1371393660,100.03,0.2,0.0
769369,1371480060,100.25,0.08189,0.0
770811,1371566580,106.02,0.128,0.00403945514325981
772251,1371652980,105.68,2.04300719,0.0
773691,1371739380,106.95,3.725,0.00018696830887160906
775131,1371825780,102.0,11.3105587,-0.013916500994035843
776571,1371912180,100.3,0.18999003,0.0
778018,1371999000,100.14,0.2,0.0
779458,1372085400,97.01,0.56695187,0.0
780898,1372171800,99.83,20.71128031,0.003593172971354421
782338,1372258200,98.19,0.6,0.0
783781,1372344780,97.6,32.0,0.0012279983626688963
785221,1372431180,91.95,1.20431,0.0010863661053774505
786661,1372517580,90.71,1.0,0.0
788103,1372604100,89.7,5.71,0.0
789543,1372690500,87.55,5.46735265,-0.0009145992911855299
790985,1372777020,84.55,0.03,0.0
792425,1372863420,84.53,0.44205078,-0.00011831519167067104
793865,1372949820,78.03,0.28696888,0.0
795305,1373036220,70.96,5.06090911,0.00042259473165236146
796745,1373122620,66.51,0.197,0.0
798185,1373209020,66.89,2.24602661,0.0
799625,1373295420,73.09,0.30517787,0.0
801065,1373381820,73.64,1.20836522,0.00013577732518676327
802505,1373468220,76.31,5.74675363,0.00013102725366864396
803945,1373554620,84.96,8.05043484,0.00011768859597511023
805386,1373641080,92.65,0.69643023,0.0001079214331965347
806826,1373727480,91.2,0.06325757,0.0
808267,1373813940,92.52,0.15131863,0.0
809707,1373900340,93.61,0.15,0.0
811149,1373986860,91.82,1.20760165,0.00010889687465975297
812589,1374073260,91.75,0.47375968,-0.00010900370612606406
814029,1374159660,80.98,1.65070981,0.0
815469,1374246060,84.11,4.57785379,0.0
816910,1374332520,86.82,0.16125317,0.0
818350,1374418920,85.39,2.0,-0.00023427433524652713
819790,1374505320,85.97,0.06979179,0.0
821230,1374591720,87.5,7.14937143,0.00034273963212614114
822670,1374678120,87.98,1.15455,0.00022727272727268206
824111,1374764580,89.77,0.2673623,0.0
825551,1374850980,90.77,5.59279376,0.0
826992,1374937440,89.54,13.54345913,-0.0006705409029951081
828433,1375023900,89.22,2.0,-0.0013468013468013978
829873,1375110300,93.4,1.0,0.0
831314,1375196760,94.33,57.65994935,-0.00031813361611878193
832754,1375283160,98.83,0.07669736,0.0
834195,1375369620,97.8,1.34959823,-0.0001022599447795368
835635,1375456020,98.29,0.25260962,0.0
837076,1375542480,95.88,0.25675845,0.0
838517,1375628940,96.17,0.16637205,0.0
839957,1375715340,98.25,1.5982,0.0
841397,1375801740,98.7,1.83,0.0
842837,1375888140,97.38,0.154,0.0
844277,1375974540,93.5,11.09203964,0.0
845717,1376060940,92.98,20.05207996,-0.0014001077005924574
847160,1376147520,93.25,13.71388739,0.0
848600,1376233920,93.86,0.362,0.0
850041,1376320380,93.94,0.24,0.0
851483,1376406900,96.05,10.0,-0.0005208333333333037
852923,1376493300,98.11,10.51777574,0.00010191602119858455
854363,1376579700,98.2,1.12,0.0
855803,1376666100,98.43,1.35673,0.00020314880650072138
857248,1376752800,98.58,1.00001,0.0
